Cause,Type,Year,Total Deaths,Source
Abrasi Air Laut,Bencana Alam,2012,0,Profil Kesehatan Indonesia Tahun 2012
AIDS,Bencana Non Alam dan Penyakit,2000,47,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2001,99,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2002,100,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2003,261,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2003,261,Profil Kesehatan Indonesia Tahun 2007
AIDS,Bencana Non Alam dan Penyakit,2003,261,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2003,261,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2003,261,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2004,361,Profil Kesehatan Indonesia Tahun 2004
AIDS,Bencana Non Alam dan Penyakit,2004,361,Profil Kesehatan Indonesia Tahun 2007
AIDS,Bencana Non Alam dan Penyakit,2004,361,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2004,361,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2004,361,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2005,592,Profil Kesehatan Indonesia Tahun 2005
AIDS,Bencana Non Alam dan Penyakit,2005,592,Profil Kesehatan Indonesia Tahun 2007
AIDS,Bencana Non Alam dan Penyakit,2005,592,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2005,592,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2005,592,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2005,509,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2006,539,Profil Kesehatan Indonesia Tahun 2006
AIDS,Bencana Non Alam dan Penyakit,2006,539,Profil Kesehatan Indonesia Tahun 2007
AIDS,Bencana Non Alam dan Penyakit,2006,539,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2006,539,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2006,539,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2006,635,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2007,498,Profil Kesehatan Indonesia Tahun 2007
AIDS,Bencana Non Alam dan Penyakit,2007,498,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2007,498,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2007,498,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2007,788,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2008,993,Profil Kesehatan Indonesia Tahun 2008
AIDS,Bencana Non Alam dan Penyakit,2008,993,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2008,993,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2008,711,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2009,484,Profil Kesehatan Indonesia Tahun 2009
AIDS,Bencana Non Alam dan Penyakit,2009,484,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2009,331,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2010,693,Profil Kesehatan Indonesia Tahun 2010
AIDS,Bencana Non Alam dan Penyakit,2010,979,Profil Kesehatan Indonesia Tahun 2011
AIDS,Bencana Non Alam dan Penyakit,2011,597,Profil Kesehatan Indonesia Tahun 2011
